Team;Player;Position;Points;Price;GP;Home;Away;Average
Manchester City;Haaland;Forward;107;19690000;8;4;4;13.38
AFC Bournemouth;Semenyo;Forward;75;11670000;8;4;4;9.38
Chelsea;Moisés Caicedo;Midfielder;72;12850000;8;4;4;9.00
Everton;Grealish;Forward;61;13920000;7;4;3;8.71
Brighton & Hove Albion;Van Hecke;Defender;58;4280000;8;4;4;7.25
Arsenal;Zubimendi;Midfielder;57;9320000;8;4;4;7.13
Crystal Palace;Marc Guehi;Defender;57;6880000;8;4;4;7.13
Arsenal;Timber;Defender;57;6620000;8;4;4;7.13
Chelsea;Chalobah;Defender;56;8490000;7;3;4;8.00
Arsenal;Rice;Midfielder;55;11380000;8;4;4;6.88
Crystal Palace;Daniel Muñoz;Defender;55;6150000;8;4;4;6.88
Chelsea;Reece James;Defender;54;4490000;8;4;4;6.75
Arsenal;Magalhães;Defender;53;7440000;8;4;4;6.63
Sunderland;Xhaka;Midfielder;51;6880000;8;4;4;6.38
Manchester United;Bruno Fernandes;Midfielder;50;14340000;7;4;3;7.14
Sunderland;Omar Alderete;Defender;50;4290000;8;4;4;6.25
Liverpool;Cody Gakpo;Forward;49;9450000;7;3;4;7.00
Chelsea;Pedro Neto;Forward;48;6160000;8;4;4;6.00
Brentford FC;Igor Thiago;Forward;48;4960000;7;4;3;6.86
Burnley;Jaidon Anthony;Forward;48;4590000;8;4;4;6.00
Burnley;Josh Cullen;Midfielder;48;3520000;8;4;4;6.00
Liverpool;Gravenberch;Midfielder;47;8950000;6;2;4;7.83
Tottenham;Palhinha;Midfielder;47;7470000;7;3;4;6.71
Tottenham;Kudus;Forward;47;7050000;7;3;4;6.71
Everton;Tarkowski;Defender;47;6740000;8;4;4;5.88
Everton;Iliman Ndiaye;Forward;47;6270000;8;4;4;5.88
Tottenham;Vicario;Goalkeeper;47;5820000;7;3;4;6.71
Everton;Garner;Midfielder;47;5390000;8;4;4;5.88
Arsenal;Bukayo Saka;Forward;46;13670000;6;3;3;7.67
AFC Bournemouth;Senesi;Defender;46;6700000;8;4;4;5.75
Everton;Pickford;Goalkeeper;46;4980000;8;4;4;5.75
Sunderland;Robin Roefs;Goalkeeper;46;3820000;8;4;4;5.75
Sunderland;Nordi Mukiele;Defender;46;3310000;6;3;3;7.67
Crystal Palace;Chris Richards;Defender;45;4770000;8;4;4;5.63
Chelsea;João Pedro;Forward;44;11120000;8;4;4;5.50
Liverpool;Van Dijk;Defender;44;10620000;7;3;4;6.29
Newcastle;Guimarães;Midfielder;44;7480000;7;4;3;6.29
Manchester City;Jérémy Doku;Forward;44;6610000;8;4;4;5.50
Crystal Palace;Mateta;Forward;44;4230000;8;4;4;5.50
Liverpool;Hugo Ekitiké;Forward;43;9520000;6;3;3;7.17
Crystal Palace;Henderson;Goalkeeper;43;4580000;8;4;4;5.38
Brighton & Hove Albion;Yankuba Minteh;Forward;43;3970000;8;4;4;5.38
Chelsea;Enzo Fernández;Midfielder;42;10090000;7;4;3;6.00
Manchester City;Reijnders;Midfielder;42;7980000;8;4;4;5.25
West Ham United;Lucas Paquetá;Midfielder;42;7350000;7;3;4;6.00
Nottingham Forest;Elliot Anderson;Midfielder;42;6210000;8;4;4;5.25
Crystal Palace;Ismaïla Sarr;Forward;42;6110000;6;3;3;7.00
Everton;Dewsbury-Hall;Midfielder;42;5980000;7;3;4;6.00
Newcastle;Pope;Goalkeeper;42;5270000;8;4;4;5.25
Fulham;Joachim Andersen;Defender;42;4020000;8;4;4;5.25
Sunderland;Daniel Ballard;Defender;42;2650000;6;3;3;7.00
West Ham United;Bowen;Forward;41;8580000;7;3;4;5.86
Newcastle;Tonali;Midfielder;41;7930000;8;4;4;5.13
Tottenham;Richarlison;Forward;41;5440000;7;3;4;5.86
Arsenal;Calafiori;Defender;41;5170000;8;4;4;5.13
Fulham;Iwobi;Forward;41;4600000;8;4;4;5.13
Everton;Gueye;Midfielder;41;4550000;8;4;4;5.13
Chelsea;Cucurella;Defender;40;6440000;8;4;4;5.00
Fulham;Leno;Goalkeeper;40;4240000;8;4;4;5.00
Sunderland;Wilson Isidor;Forward;40;3910000;8;4;4;5.00
Leeds United;Joe Rodon;Defender;40;2100000;8;4;4;5.00
Newcastle;Nick Woltemade;Forward;39;9450000;5;3;2;7.80
Tottenham;Cristian Romero;Defender;39;5990000;7;3;4;5.57
AFC Bournemouth;Alex Scott;Midfielder;39;3320000;8;4;4;4.88
Burnley;Ugochukwu;Midfielder;39;1440000;7;3;4;5.57
Leeds United;Longstaff;Midfielder;38;2940000;8;4;4;4.75
Everton;Michael Keane;Defender;38;2150000;8;4;4;4.75
Brighton & Hove Albion;Welbeck;Forward;38;1890000;8;4;4;4.75
Arsenal;Saliba;Defender;37;6920000;7;3;4;5.29
Crystal Palace;Wharton;Midfielder;37;4430000;7;3;4;5.29
Tottenham;Van de Ven;Defender;37;4200000;7;3;4;5.29
AFC Bournemouth;Petrovic;Goalkeeper;37;3750000;8;4;4;4.63
Crystal Palace;Mitchell;Defender;37;2980000;8;4;4;4.63
Liverpool;Szoboszlai;Midfielder;36;7170000;7;3;4;5.14
Crystal Palace;Maxence Lacroix;Defender;36;4650000;8;4;4;4.50
Crystal Palace;Daichi Kamada;Midfielder;36;3830000;6;3;3;6.00
Arsenal;David Raya;Goalkeeper;35;5210000;8;4;4;4.38
Burnley;Dubravka;Goalkeeper;35;3110000;8;4;4;4.38
Fulham;Harry Wilson;Midfielder;35;2880000;8;4;4;4.38
Manchester City;Rúben Dias;Defender;34;4980000;8;4;4;4.25
Tottenham;Brennan Johnson;Forward;34;4200000;7;3;4;4.86
Manchester United;De Ligt;Defender;34;4060000;7;4;3;4.86
Manchester City;Matheus Nunes;Midfielder;34;3180000;6;2;4;5.67
Aston Villa;Matty Cash;Defender;34;2920000;7;4;3;4.86
Manchester City;Foden;Midfielder;33;7910000;6;4;2;5.50
Aston Villa;John McGinn;Midfielder;33;3070000;7;4;3;4.71
Nottingham Forest;Hudson-Odoi;Forward;33;2830000;8;4;4;4.13
Brighton & Hove Albion;Yasin Ayari;Midfielder;33;2770000;8;4;4;4.13
Leeds United;Anton Stach;Midfielder;33;2580000;8;4;4;4.13
Leeds United;Aaronson;Forward;33;1750000;8;4;4;4.13
Arsenal;Eberechi Eze;Forward;32;8780000;7;3;4;4.57
Manchester City;Nico González;Midfielder;32;3180000;7;4;3;4.57
Brighton & Hove Albion;Verbruggen;Goalkeeper;32;2950000;8;4;4;4.00
Nottingham Forest;Neco Williams;Defender;32;2890000;8;4;4;4.00
Fulham;Kenny Tete;Defender;32;2590000;5;3;2;6.40
Manchester City;Oscar Bobb;Midfielder;32;2450000;7;4;3;4.57
Arsenal;Merino;Midfielder;31;5110000;7;3;4;4.43
Liverpool;Konaté;Defender;31;4720000;7;3;4;4.43
Chelsea;Estêvão;Forward;31;4660000;7;4;3;4.43
Aston Villa;Kamara;Midfielder;31;3680000;5;3;2;6.20
AFC Bournemouth;Tyler Adams;Midfielder;31;2600000;8;4;4;3.88
Sunderland;Trai Hume;Defender;31;1820000;8;4;4;3.88
AFC Bournemouth;Kroupi;Forward;31;750000;5;1;4;6.20
Arsenal;Ødegaard;Midfielder;30;6520000;6;3;3;5.00
Leeds United;Noah Okafor;Forward;30;3520000;5;2;3;6.00
Tottenham;Pape Sarr;Midfielder;30;3470000;6;3;3;5.00
Brentford FC;Kelleher;Goalkeeper;30;3050000;7;4;3;4.29
Manchester United;Mason Mount;Midfielder;30;2910000;6;4;2;5.00
Fulham;Emile Smith;Midfielder;30;2300000;8;4;4;3.75
Brighton & Hove Albion;De Cuyper;Defender;30;2190000;7;3;4;4.29
Aston Villa;Donyell Malen;Forward;30;1910000;7;4;3;4.29
Manchester United;Mbeumo;Forward;29;6910000;7;4;3;4.14
Manchester United;Amad Diallo;Forward;29;3420000;6;4;2;4.83
Aston Villa;Lucas Digne;Defender;29;2940000;7;4;3;4.14
AFC Bournemouth;Tavernier;Midfielder;29;2890000;8;4;4;3.63
Wolverhampton;André;Midfielder;29;1920000;8;4;4;3.63
Leeds United;Ampadu;Defender;29;1810000;6;3;3;4.83
Tottenham;Pedro Porro;Defender;28;5380000;7;3;4;4.00
AFC Bournemouth;Evanilson;Forward;28;4000000;7;4;3;4.00
Arsenal;Martinelli;Forward;28;3810000;7;3;4;4.00
Liverpool;Alisson;Goalkeeper;28;3110000;6;3;3;4.67
Tottenham;Lucas Bergvall;Midfielder;28;2680000;6;3;3;4.67
Wolverhampton;Agbadou;Defender;28;2460000;7;4;3;4.00
Wolverhampton;Krejci;Defender;28;2330000;5;2;3;5.60
Brighton & Hove Albion;Brajan Gruda;Forward;28;1310000;7;3;4;4.00
Wolverhampton;Santiago Bueno;Defender;28;1130000;5;2;3;5.60
Aston Villa;Emi Buendía;Forward;28;1030000;6;3;3;4.67
Liverpool;Salah;Forward;27;14690000;7;3;4;3.86
Manchester United;Benjamin Sesko;Forward;27;6060000;7;4;3;3.86
Newcastle;Schär;Defender;27;3870000;4;2;2;6.75
Newcastle;Botman;Defender;27;3740000;6;3;3;4.50
Brentford FC;Damsgaard;Midfielder;27;3550000;5;3;2;5.40
Aston Villa;Konsa;Defender;27;3280000;6;4;2;4.50
Nottingham Forest;Dan Ndoye;Forward;27;3140000;7;3;4;3.86
Fulham;Sessegnon;Midfielder;27;2440000;7;4;3;3.86
AFC Bournemouth;David Brooks;Midfielder;27;2320000;7;4;3;3.86
