Team;Player;Position;Points;Price;GP;Home;Away;Average
Liverpool;Salah;Forward;0;16690000;0;0;0;0.00
Chelsea;Cole Palmer;Midfielder;0;15970000;0;0;0;0.00
Liverpool;Florian Wirtz;Midfielder;0;14930000;0;0;0;0.00
Manchester City;Haaland;Forward;0;14060000;0;0;0;0.00
Brentford FC;Mbeumo;Forward;0;13930000;0;0;0;0.00
Newcastle;Isak;Forward;0;13920000;0;0;0;0.00
Manchester United;Bruno Fernandes;Midfielder;0;13880000;0;0;0;0.00
Arsenal;Rice;Midfielder;0;12620000;0;0;0;0.00
Chelsea;Enzo Fernández;Midfielder;0;12080000;0;0;0;0.00
Manchester United;Matheus Cunha;Forward;0;11800000;0;0;0;0.00
Newcastle;Guimarães;Midfielder;0;11410000;0;0;0;0.00
Arsenal;Bukayo Saka;Forward;0;11240000;0;0;0;0.00
Chelsea;Moisés Caicedo;Midfielder;0;11120000;0;0;0;0.00
Liverpool;Mac Allister;Midfielder;0;10550000;0;0;0;0.00
Aston Villa;Tielemans;Midfielder;0;10220000;0;0;0;0.00
West Ham United;Bowen;Forward;0;9800000;0;0;0;0.00
Liverpool;Luis Díaz;Forward;0;9540000;0;0;0;0.00
Brentford FC;Yoane Wissa;Forward;0;9390000;0;0;0;0.00
Arsenal;Ødegaard;Midfielder;0;9340000;0;0;0;0.00
Crystal Palace;Eberechi Eze;Forward;0;9250000;0;0;0;0.00
Fulham;Iwobi;Forward;0;8720000;0;0;0;0.00
Arsenal;Zubimendi;Midfielder;0;8720000;0;0;0;0.00
Liverpool;Szoboszlai;Midfielder;0;8440000;0;0;0;0.00
Manchester City;Foden;Midfielder;0;8320000;0;0;0;0.00
Tottenham;Heung-Min Son;Forward;0;8160000;0;0;0;0.00
Manchester City;Gvardiol;Defender;0;8150000;0;0;0;0.00
Liverpool;Cody Gakpo;Forward;0;8020000;0;0;0;0.00
AFC Bournemouth;Semenyo;Forward;0;7960000;0;0;0;0.00
Tottenham;Maddison;Midfielder;0;7910000;0;0;0;0.00
Newcastle;Tonali;Midfielder;0;7830000;0;0;0;0.00
Aston Villa;Watkins;Forward;0;7820000;0;0;0;0.00
Manchester City;Bernardo Silva;Midfielder;0;7510000;0;0;0;0.00
Liverpool;Gravenberch;Midfielder;0;7430000;0;0;0;0.00
Nottingham Forest;Gibbs-White;Midfielder;0;7410000;0;0;0;0.00
Liverpool;Van Dijk;Defender;0;7030000;0;0;0;0.00
Newcastle;Anthony Gordon;Forward;0;6890000;0;0;0;0.00
Manchester City;Aït Nouri;Midfielder;0;6780000;0;0;0;0.00
Manchester City;Omar Marmoush;Forward;0;6470000;0;0;0;0.00
Manchester City;Rodrigo;Midfielder;0;6440000;0;0;0;0.00
AFC Bournemouth;Justin Kluivert;Forward;0;6310000;0;0;0;0.00
Arsenal;Trossard;Forward;0;6230000;0;0;0;0.00
Aston Villa;Rogers;Forward;0;6070000;0;0;0;0.00
Brentford FC;Damsgaard;Midfielder;0;6040000;0;0;0;0.00
Arsenal;Martinelli;Forward;0;6000000;0;0;0;0.00
Nottingham Forest;Elanga;Forward;0;5980000;0;0;0;0.00
Manchester City;Reijnders;Midfielder;0;5900000;0;0;0;0.00
Arsenal;Saliba;Defender;0;5860000;0;0;0;0.00
Chelsea;Jamie Gittens;Forward;0;5830000;0;0;0;0.00
Manchester City;Rayan Cherki;Forward;0;5700000;0;0;0;0.00
Nottingham Forest;Milenkovic;Defender;0;5610000;0;0;0;0.00
Liverpool;Frimpong;Defender;0;5580000;0;0;0;0.00
Tottenham;Brennan Johnson;Forward;0;5550000;0;0;0;0.00
Crystal Palace;Daniel Muñoz;Defender;0;5520000;0;0;0;0.00
Everton;Pickford;Goalkeeper;0;5510000;0;0;0;0.00
Chelsea;Pedro Neto;Forward;0;5460000;0;0;0;0.00
Nottingham Forest;Wood;Forward;0;5420000;0;0;0;0.00
Manchester United;Amad Diallo;Forward;0;5390000;0;0;0;0.00
Manchester City;Jérémy Doku;Forward;0;5340000;0;0;0;0.00
Manchester City;Sávio;Forward;0;5290000;0;0;0;0.00
Liverpool;Kerkez;Defender;0;5270000;0;0;0;0.00
Arsenal;David Raya;Goalkeeper;0;5200000;0;0;0;0.00
Crystal Palace;Mateta;Forward;0;5150000;0;0;0;0.00
Arsenal;Magalhães;Defender;0;5110000;0;0;0;0.00
Manchester City;Kovacic;Midfielder;0;5040000;0;0;0;0.00
Manchester United;Antony;Forward;0;5040000;0;0;0;0.00
Arsenal;Kai Havertz;Forward;0;5030000;0;0;0;0.00
West Ham United;Soucek;Midfielder;0;4940000;0;0;0;0.00
Brighton & Hove Albion;Mitoma;Forward;0;4920000;0;0;0;0.00
Arsenal;Merino;Midfielder;0;4880000;0;0;0;0.00
Chelsea;João Pedro;Forward;0;4870000;0;0;0;0.00
Arsenal;Nørgaard;Midfielder;0;4820000;0;0;0;0.00
Fulham;Antonee Robinson;Defender;0;4800000;0;0;0;0.00
Chelsea;Cucurella;Defender;0;4750000;0;0;0;0.00
Crystal Palace;Marc Guehi;Defender;0;4710000;0;0;0;0.00
Tottenham;Kudus;Forward;0;4710000;0;0;0;0.00
Newcastle;Jacob Murphy;Forward;0;4700000;0;0;0;0.00
Everton;Iliman Ndiaye;Forward;0;4690000;0;0;0;0.00
AFC Bournemouth;Evanilson;Forward;0;4680000;0;0;0;0.00
Nottingham Forest;Elliot Anderson;Midfielder;0;4660000;0;0;0;0.00
West Ham United;Wan-Bissaka;Defender;0;4610000;0;0;0;0.00
Chelsea;Madueke;Forward;0;4590000;0;0;0;0.00
Tottenham;Pedro Porro;Defender;0;4560000;0;0;0;0.00
Aston Villa;John McGinn;Midfielder;0;4540000;0;0;0;0.00
Crystal Palace;Ismaïla Sarr;Forward;0;4540000;0;0;0;0.00
West Ham United;Lucas Paquetá;Midfielder;0;4470000;0;0;0;0.00
Brighton & Hove Albion;Baleba;Midfielder;0;4440000;0;0;0;0.00
Nottingham Forest;Murillo;Defender;0;4430000;0;0;0;0.00
Everton;Thierno Barry;Forward;0;4410000;0;0;0;0.00
Manchester United;Rashford;Forward;0;4380000;0;0;0;0.00
Chelsea;Nicolas Jackson;Forward;0;4360000;0;0;0;0.00
Nottingham Forest;Hudson-Odoi;Forward;0;4350000;0;0;0;0.00
Chelsea;Andrey Santos;Midfielder;0;4300000;0;0;0;0.00
Fulham;Raúl Jiménez;Forward;0;4290000;0;0;0;0.00
Newcastle;Joelinton;Midfielder;0;4290000;0;0;0;0.00
Everton;Tarkowski;Defender;0;4240000;0;0;0;0.00
Aston Villa;Emiliano Martínez;Goalkeeper;0;4200000;0;0;0;0.00
Liverpool;Konaté;Defender;0;4200000;0;0;0;0.00
Brentford FC;Collins;Defender;0;4120000;0;0;0;0.00
Chelsea;João Félix;Forward;0;4080000;0;0;0;0.00
Tottenham;Solanke;Forward;0;4060000;0;0;0;0.00
Wolverhampton;João Gomes;Midfielder;0;4060000;0;0;0;0.00
Newcastle;Harvey Barnes;Forward;0;4020000;0;0;0;0.00
Brentford FC;Schade;Forward;0;4000000;0;0;0;0.00
Wolverhampton;Larsen;Forward;0;3940000;0;0;0;0.00
AFC Bournemouth;Hamed Traorè;Midfielder;0;3920000;0;0;0;0.00
Liverpool;Alisson;Goalkeeper;0;3880000;0;0;0;0.00
AFC Bournemouth;Lewis Cook;Midfielder;0;3870000;0;0;0;0.00
Liverpool;Curtis Jones;Midfielder;0;3860000;0;0;0;0.00
Manchester City;Rúben Dias;Defender;0;3860000;0;0;0;0.00
Everton;McNeil;Midfielder;0;3850000;0;0;0;0.00
AFC Bournemouth;Tavernier;Midfielder;0;3840000;0;0;0;0.00
Manchester City;Gündogan;Midfielder;0;3830000;0;0;0;0.00
Everton;Gueye;Midfielder;0;3790000;0;0;0;0.00
Manchester United;Garnacho;Forward;0;3780000;0;0;0;0.00
Tottenham;Pape Sarr;Midfielder;0;3780000;0;0;0;0.00
Crystal Palace;Maxence Lacroix;Defender;0;3780000;0;0;0;0.00
Fulham;Emile Smith;Midfielder;0;3710000;0;0;0;0.00
Nottingham Forest;Neco Williams;Defender;0;3690000;0;0;0;0.00
Wolverhampton;André;Midfielder;0;3660000;0;0;0;0.00
AFC Bournemouth;Ryan Christie;Midfielder;0;3620000;0;0;0;0.00
Liverpool;Mamardashvili;Goalkeeper;0;3620000;0;0;0;0.00
Aston Villa;Amadou Onana;Midfielder;0;3590000;0;0;0;0.00
Arsenal;Timber;Defender;0;3580000;0;0;0;0.00
Tottenham;Kulusevski;Forward;0;3570000;0;0;0;0.00
Manchester United;Manuel Ugarte;Midfielder;0;3510000;0;0;0;0.00
Manchester United;Mazraoui;Defender;0;3450000;0;0;0;0.00
Chelsea;Liam Delap;Forward;0;3430000;0;0;0;0.00
Manchester City;Ederson;Goalkeeper;0;3420000;0;0;0;0.00
Nottingham Forest;Sels;Goalkeeper;0;3420000;0;0;0;0.00
Everton;Mykolenko;Defender;0;3410000;0;0;0;0.00
Crystal Palace;Henderson;Goalkeeper;0;3410000;0;0;0;0.00
Nottingham Forest;Igor Jesus;Forward;0;3410000;0;0;0;0.00
Manchester United;Mainoo;Midfielder;0;3390000;0;0;0;0.00
Newcastle;Schär;Defender;0;3350000;0;0;0;0.00
Fulham;Pereira;Midfielder;0;3340000;0;0;0;0.00
Newcastle;Livramento;Defender;0;3320000;0;0;0;0.00
Manchester United;Casemiro;Midfielder;0;3310000;0;0;0;0.00
Tottenham;Bentancur;Midfielder;0;3260000;0;0;0;0.00
Chelsea;Colwill;Defender;0;3240000;0;0;0;0.00
Crystal Palace;Mitchell;Defender;0;3230000;0;0;0;0.00
Manchester United;Jadon Sancho;Forward;0;3230000;0;0;0;0.00
Tottenham;Vicario;Goalkeeper;0;3230000;0;0;0;0.00
AFC Bournemouth;Ouattara;Forward;0;3210000;0;0;0;0.00
Brighton & Hove Albion;Verbruggen;Goalkeeper;0;3190000;0;0;0;0.00
Newcastle;Pope;Goalkeeper;0;3180000;0;0;0;0.00
Chelsea;Nkunku;Forward;0;3180000;0;0;0;0.00
Manchester United;Højlund;Forward;0;3180000;0;0;0;0.00
Aston Villa;Kamara;Midfielder;0;3160000;0;0;0;0.00
Brighton & Hove Albion;Welbeck;Forward;0;3150000;0;0;0;0.00
Aston Villa;Konsa;Defender;0;3140000;0;0;0;0.00
Manchester United;André Onana;Goalkeeper;0;3110000;0;0;0;0.00
Tottenham;Cristian Romero;Defender;0;3100000;0;0;0;0.00
Brighton & Hove Albion;Estupiñán;Defender;0;3100000;0;0;0;0.00
Newcastle;Lewis Hall;Defender;0;3100000;0;0;0;0.00
Brighton & Hove Albion;Van Hecke;Defender;0;3090000;0;0;0;0.00
Liverpool;Darwin Núñez;Forward;0;3080000;0;0;0;0.00
Aston Villa;Donyell Malen;Forward;0;3080000;0;0;0;0.00
Manchester United;Diogo Dalot;Defender;0;3070000;0;0;0;0.00
Aston Villa;Jacob Ramsey;Midfielder;0;3070000;0;0;0;0.00
Brighton & Hove Albion;Boscagli;Defender;0;3050000;0;0;0;0.00
Fulham;Leno;Goalkeeper;0;3040000;0;0;0;0.00
Fulham;Harry Wilson;Midfielder;0;3040000;0;0;0;0.00
Tottenham;Bryan Gil;Midfielder;0;3030000;0;0;0;0.00
AFC Bournemouth;Zabarnyi;Defender;0;3030000;0;0;0;0.00
Manchester United;De Ligt;Defender;0;3030000;0;0;0;0.00
Everton;Branthwaite;Defender;0;3020000;0;0;0;0.00
Brighton & Hove Albion;De Cuyper;Defender;0;3020000;0;0;0;0.00
Fulham;Sander Berge;Midfielder;0;3010000;0;0;0;0.00
Sunderland;Habib Diarra;Midfielder;0;3000000;0;0;0;0.00
Manchester City;Matheus Nunes;Midfielder;0;2970000;0;0;0;0.00
Chelsea;Malo Gusto;Defender;0;2970000;0;0;0;0.00
AFC Bournemouth;Kroupi;Forward;0;2950000;0;0;0;0.00
Crystal Palace;Jefferson Lerma;Midfielder;0;2920000;0;0;0;0.00
Manchester City;Grealish;Forward;0;2890000;0;0;0;0.00
AFC Bournemouth;Tyler Adams;Midfielder;0;2890000;0;0;0;0.00
West Ham United;Kilman;Defender;0;2870000;0;0;0;0.00
Brentford FC;Lewis-Potter;Defender;0;2870000;0;0;0;0.00
Chelsea;Robert Sánchez;Goalkeeper;0;2860000;0;0;0;0.00
Newcastle;Dan Burn;Defender;0;2830000;0;0;0;0.00
West Ham United;Aguerd;Defender;0;2810000;0;0;0;0.00
Arsenal;Fábio Vieira;Midfielder;0;2810000;0;0;0;0.00
Nottingham Forest;Aina;Defender;0;2800000;0;0;0;0.00
Liverpool;Robertson;Defender;0;2770000;0;0;0;0.00
Fulham;Lukic;Midfielder;0;2770000;0;0;0;0.00
Fulham;Joachim Andersen;Defender;0;2720000;0;0;0;0.00
Chelsea;Petrovic;Goalkeeper;0;2720000;0;0;0;0.00
Tottenham;Udogie;Defender;0;2710000;0;0;0;0.00
Crystal Palace;Wharton;Midfielder;0;2710000;0;0;0;0.00
Manchester City;Nico González;Midfielder;0;2700000;0;0;0;0.00
Brighton & Hove Albion;Julio Enciso;Midfielder;0;2670000;0;0;0;0.00
Leeds United;Ao Tanaka;Midfielder;0;2670000;0;0;0;0.00
Aston Villa;Lucas Digne;Defender;0;2660000;0;0;0;0.00
Wolverhampton;Toti Gomes;Defender;0;2650000;0;0;0;0.00
Fulham;Bassey;Defender;0;2650000;0;0;0;0.00
Brentford FC;Janelt;Midfielder;0;2630000;0;0;0;0.00
Manchester City;Akanji;Defender;0;2620000;0;0;0;0.00
Brighton & Hove Albion;Georginio Rutter;Forward;0;2610000;0;0;0;0.00
Brighton & Hove Albion;Yankuba Minteh;Forward;0;2610000;0;0;0;0.00
Everton;Garner;Midfielder;0;2580000;0;0;0;0.00
West Ham United;Edson Álvarez;Midfielder;0;2560000;0;0;0;0.00
Brighton & Hove Albion;Mats Wieffer;Midfielder;0;2540000;0;0;0;0.00
Nottingham Forest;Domínguez;Midfielder;0;2520000;0;0;0;0.00
Leeds United;Jaka Bijol;Defender;0;2510000;0;0;0;0.00
Brighton & Hove Albion;Hinshelwood;Midfielder;0;2500000;0;0;0;0.00
Aston Villa;Pau Torres;Defender;0;2490000;0;0;0;0.00
Arsenal;Nwaneri;Midfielder;0;2480000;0;0;0;0.00
Brighton & Hove Albion;Yasin Ayari;Midfielder;0;2450000;0;0;0;0.00
Aston Villa;Matty Cash;Defender;0;2440000;0;0;0;0.00
Arsenal;Kepa;Goalkeeper;0;2430000;0;0;0;0.00
Arsenal;Ben White;Defender;0;2420000;0;0;0;0.00
Brentford FC;Sepp van den Berg;Defender;0;2400000;0;0;0;0.00
Brighton & Hove Albion;Buonanotte;Midfielder;0;2380000;0;0;0;0.00
Manchester City;Rico Lewis;Defender;0;2370000;0;0;0;0.00
Chelsea;Chalobah;Defender;0;2340000;0;0;0;0.00
Nottingham Forest;Yates;Midfielder;0;2340000;0;0;0;0.00
Brentford FC;Kelleher;Goalkeeper;0;2320000;0;0;0;0.00
Burnley;Walker;Defender;0;2250000;0;0;0;0.00
Manchester United;Maguire;Defender;0;2250000;0;0;0;0.00
Manchester United;Lisandro Martínez;Defender;0;2250000;0;0;0;0.00
Crystal Palace;Daichi Kamada;Midfielder;0;2250000;0;0;0;0.00
Arsenal;Calafiori;Defender;0;2250000;0;0;0;0.00
West Ham United;Mavropanos;Defender;0;2230000;0;0;0;0.00
Brighton & Hove Albion;Matt O'Riley;Midfielder;0;2230000;0;0;0;0.00
Chelsea;Adarabioyo;Defender;0;2220000;0;0;0;0.00
Wolverhampton;Bellegarde;Midfielder;0;2220000;0;0;0;0.00
AFC Bournemouth;Adrien Truffert;Defender;0;2210000;0;0;0;0.00
Chelsea;Reece James;Defender;0;2170000;0;0;0;0.00
Tottenham;Van de Ven;Defender;0;2170000;0;0;0;0.00
Arsenal;Gabriel Jesus;Forward;0;2150000;0;0;0;0.00
Leeds United;Daniel James;Forward;0;2150000;0;0;0;0.00
Tottenham;Bissouma;Midfielder;0;2150000;0;0;0;0.00
Aston Villa;Leon Bailey;Forward;0;2150000;0;0;0;0.00
Burnley;Josh Cullen;Midfielder;0;2140000;0;0;0;0.00
Manchester United;Leny Yoro;Defender;0;2140000;0;0;0;0.00
Aston Villa;Ian Maatsen;Defender;0;2130000;0;0;0;0.00
Liverpool;Harvey Elliott;Midfielder;0;2110000;0;0;0;0.00
Burnley;Trafford;Goalkeeper;0;2100000;0;0;0;0.00
West Ham United;Todibo;Defender;0;2100000;0;0;0;0.00
West Ham United;Emerson;Defender;0;2090000;0;0;0;0.00
Chelsea;Roméo Lavia;Midfielder;0;2070000;0;0;0;0.00
Aston Villa;Dendoncker;Midfielder;0;2060000;0;0;0;0.00
Manchester United;Joshua Zirkzee;Forward;0;2060000;0;0;0;0.00
Wolverhampton;Agbadou;Defender;0;2060000;0;0;0;0.00
Sunderland;Adingra;Forward;0;2040000;0;0;0;0.00
Fulham;Kenny Tete;Defender;0;2000000;0;0;0;0.00
Fulham;Rodrigo Muniz;Forward;0;2000000;0;0;0;0.00
Brentford FC;Antoni Milambo;Midfielder;0;1990000;0;0;0;0.00
Wolverhampton;José Sá;Goalkeeper;0;1980000;0;0;0;0.00
Tottenham;Lucas Bergvall;Midfielder;0;1960000;0;0;0;0.00
Arsenal;Lewis-Skelly;Defender;0;1940000;0;0;0;0.00
Newcastle;Trippier;Defender;0;1920000;0;0;0;0.00
